,0,1,2,3,4,5
0,Teacher,Style,Time,Level,Studio,Price
1,Nina Monteiro,Ballet,13:00-14:30,Intermediate,LA,£6
2,Bruce Aguilar-Rohan,Jazz Technique,15:00-16:30,Intermediate,LA,£7
3,Robin Dobler,Urban Contemporary,16:30-18:00,INT/ADV,NY,£7
4,Alberto Blanco,Dance Fusion,16:30-18:00,INT/ADV,LA,£7
5,Kenrick H20 Sandy,H20graphy,18:00-19:30,INT/ADV,LA,£7
6,Fumy,Afrobeats Fusion,18:00-19:30,ALL,NY,£7
7,Shaun Niles,Commercial Jazz Funk,19:30-21:00,INT/ADV,LA,£8
8,T.K.,Hip-Hop,19:30-21:00,Beginner,NY,£7
9,Sharon & Leah,Heels,21:00-22:30,INT/ADV,LA,£8
10,Teacher,Style,Time,Level,Studio,Price
11,Ricky-Maddie-Gioia,Contemporary Fusion,16:30-18:00,INT/ADV,LA,£8
12,Dominic Lawrence,MVMT,18:00-19:30,INT/ADV,LA,£8
13,Jess Baddie,Dancehall,18:00-19:30,INT/ADV,NY,£7
14,Sisco Gomez,Performance Technique,19:30-21:00,INT/ADV,LA,£8
15,JYP,Hip-Hop,19:30-21:00,INT/ADV,NY,£7
16,PROGRAM 68,Studio 68 Pro Training,21:00-23:30,INT/ADV,LA,£75/month
17,Teacher,Style,Time,Level,Studio,Price
18,Holly Palmer,Jazz Technique,14:00-15:30,Beginner,LA,£7
19,Laura Parijs,Contemporary,15:30-17:00,INT/ADV,LA,£7
20,David Cottle,Hip-Hop,17:00-18:30,INT/ADV,LA,£8
21,Kash Powell,Commercial,18:30-20:00,INT/ADV,LA,£8
22,Mikey Ureta,Urban Choreography,18:30-20:00,INT/ADV,NY,£8
23,Birdgang,Hip-Hop,20:00-21:30,INT/ADV,LA,£7
24,Tiago Santos,Waacking,20:00-21:30,ALL,NY,£7
25,Yaw Darko,Locking,21:30-23:00,INT/ADV,NY,£5
26,Teacher,Style,Time,Level,Studio,Price
27,Hulya Levent,Ballet,13:30-15:00,Beginner,LA,£6
28,Benjamin Milan,Contemporary/Jazz,15:00-16:30,Int/Adv,LA,£8
29,Fabio Fiorillo,Contemporary Fusion,16:30-18:00,INT/ADV,LA,£8
30,Steven Pascua,Hip-Hop,18:00-19:30,ALL,LA,£7
31,Benjamin Milan,Vogue,18:00-19:30,ALL,NY,£8
32,CHOREO THURSDAYS,ALL,19:30-22:30,ALL,LA,£10
33,Mr Ben,Locking,19:30-21:00,Intermediate,NY,£8
34,Shawn Plague,Popping,21:00-22:30,Intermediate,NY,£8
35,Teacher,Style,Time,Level,Studio,Price
36,Tarik Frimpong,Experimental Hip-Hop,16:30-18:00,ALL,LA,£7
37,Bly Richards,House,18:00-19:30,INT/ADV,LA,£8
38,Adam Pudney,Acro for Dancers,19:30-21:30,ALL,LA,£9
39,Kofi Mingo/Dan Nicholson Hair,Hip-Hop,19:30-21:00,ALL,NY,£7
40,Homebros,Afrobeats,13:00-14:30,INT/ADV,LA,£8
41,Teacher,Style,Time,Level,Studio,Price
42,FLAWLESS ACADEMY,All,10:00-13:00,ALL,LA,TBD
43,Josh Wharmby,Commercial,13:00-14:30,INT/ADV,LA,£7
44,Kloe Dean,Hip-Hop,13:00-14:30,ALL,NY,£8
45,Rycardo Gomez,Commercial Hip-Hop,14:30-16:00,INT/ADV,LA,£8
46,Theo,Krumping,14:30-16:00,INT/ADV,NY,£7
47,Ashton Sands,Choreography,16:00-17:30,INT/ADV,LA,£7
48,Tarek Khwiss,Commercial,16:00-17:30,INT/ADV,NY,£7
49,Mira Jebari,Afro Swing,17:30-19:00,INT/ADV,LA,£7
50,Keron Proverbs,Hip-Hop,19:00-20:30,INT/ADV,LA,£7
51,Wolfgang,Hip-Hop/Commercial,20:30-22:00,INT/ADV,LA,£7
